learning_rate,batch_size,neurons_H1,neurons_H2,neurons_H3,activation_H1,activation_H2,activation_H3,accuracy
0.1,200,16,8,4,tanh,tanh,tanh,0.86375
0.1,200,16,8,4,tanh,tanh,relu,0.54
0.1,200,16,8,8,tanh,tanh,tanh,0.9635
0.1,200,16,8,8,tanh,tanh,relu,0.9655
0.1,200,16,8,16,tanh,tanh,tanh,0.9395
0.1,200,16,8,16,tanh,tanh,relu,0.964
0.1,200,16,16,4,tanh,tanh,tanh,0.9685
0.1,200,16,16,4,tanh,tanh,relu,0.655
0.1,200,16,16,8,tanh,tanh,tanh,0.976
0.1,200,16,16,8,tanh,tanh,relu,0.9605
0.1,200,16,16,16,tanh,tanh,tanh,0.96675
0.1,200,16,16,16,tanh,tanh,relu,0.969
